mosque_id/id,id,name,episode_days/id,company_id/id,subh,zuhr,period_subh,period_zuhr,period_id/id,academic_id/id,period_magrib,women_or_men,expected_students,active,episode_type/id
data_security.683,128,أبي حنيفة - تلقين,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1390,149,الثانوي والجامعي مكثف,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1390,152,مبادئ,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1384,291,اسامه بن زيد رضي الله عنه,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.683,843,ابن عامر الشامي- ثانوي,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.683,844,ابوعمرو البصري - ثانوي,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.683,868,أبي بن كعب - ابتدائي,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.683,869,ابو زيد الانصاري - ابتدائي,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.683,870,زيد بن ثابت - ابتدائي,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1533,1551,فتيات المستقبل ,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.650,1633, عمربن الخطاب,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.650,1634, عثمان بن عفان,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.650,1635, الجامعي,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.2641,1696,ريم بنت عمر الشريم,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.2641,1697,تمهيدي ثاني صباحي,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.228,2379,حلقه خديجة,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.228,2380,حلقة خديجة,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.247,2482,المدود والمخارج,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.537,2824,أحمد ,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.937,2926,صفيه بنت عمر ,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1594,3207,خديجة بنت خويل,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1215,3325,راشد,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1594,3376,الحافظا,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1594,3387,ناشئةة,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.211,3499,الصعود الى القمه,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.2640,3903,شموع الهدى,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1078,4237,محو الامية,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.1384,5330,محمد,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
data_security.2641,5353,ماجستير,data_security.mk_work_days_1,base.main_company,1,1,s,z,data_security.mk_periods_1,data_security.mk_study_year_1,,men,50,1,data_security.mk_episode_type_1
